All data collected Rigaku Miniflex with Cu Radiation Source,
2*theta,Intensity
8,308
8.2,283
8.4,303
8.6,363
8.8,348
9,357
9.2,323
9.4,354
9.6,331
9.8,296
10,236
10.2,213
10.4,221
10.6,212
10.8,230
11,226
11.2,174
11.4,189
11.6,227
11.8,189
12,185
12.2,187
12.4,202
12.6,235
12.8,191
13,214
13.2,220
13.4,226
13.6,217
13.8,228
14,170
14.2,158
14.4,168
14.6,153
14.8,167
15,180
15.2,165
15.4,140
15.6,149
15.8,166
16,155
16.2,175
16.4,138
16.6,144
16.8,141
17,158
17.2,149
17.4,154
17.6,118
17.8,131
18,135
18.2,121
18.4,140
18.6,148
18.8,129
19,137
19.2,123
19.4,137
19.6,115
19.8,115
20,128
20.2,143
20.4,136
20.6,130
20.8,143
21,135
21.2,136
21.4,113
21.6,122
21.8,115
22,121
22.2,121
22.4,120
22.6,132
22.8,120
23,122
23.2,124
23.4,118
23.6,115
23.8,116
24,117
24.2,124
24.4,113
24.6,121
24.8,130
25,101
25.2,93
25.4,110
25.6,115
25.8,105
26,109
26.2,124
26.4,117
26.6,116
26.8,134
27,128
27.2,133
27.4,105
27.6,129
27.8,106
28,115
28.2,120
28.4,121
28.6,120
28.8,109
29,109
29.2,121
29.4,120
29.6,100
29.8,102
30,111
30.2,107
30.4,123
30.6,106
30.8,101
31,121
31.2,124
31.4,126
31.6,97
31.8,94
32,104
32.2,109
32.4,113
32.6,118
32.8,124
33,130
33.2,121
33.4,124
33.6,108
33.8,107
34,126
34.2,105
34.4,114
34.6,109
34.8,132
35,126
35.2,162
35.4,140
35.6,142
35.8,154
36,184
36.2,201
36.4,283
36.6,468
36.8,1029
37,923
37.2,359
37.4,224
37.6,150
37.8,149
38,136
38.2,142
38.4,212
38.6,202
38.8,153
39,135
39.2,119
39.4,141
39.6,131
39.8,122
40,124
40.2,120
40.4,143
40.6,164
40.8,174
41,186
41.2,189
41.4,263
41.6,302
41.8,363
42,523
42.2,871
42.4,2069
42.6,5735
42.8,11961
43,9561
43.2,3245
43.4,1061
43.6,581
43.8,365
44,292
44.2,226
44.4,244
44.6,211
44.8,177
45,180
45.2,146
45.4,142
45.6,141
45.8,147
46,147
46.2,151
46.4,143
46.6,132
46.8,126
47,142
47.2,121
47.4,143
47.6,157
47.8,103
48,130
48.2,128
48.4,101
48.6,130
48.8,111
49,112
49.2,101
49.4,89
49.6,123
49.8,90
50,102
50.2,89
50.4,99
50.6,99
50.8,97
51,105
51.2,87
51.4,75
51.6,94
51.8,90
52,91
52.2,91
52.4,80
52.6,101
52.8,115
53,95
53.2,84
53.4,87
53.6,83
53.8,84
54,95
54.2,97
54.4,82
54.6,76
54.8,95
55,97
55.2,104
55.4,100
55.6,143
55.8,112
56,97
56.2,105
56.4,101
56.6,94
56.8,111
57,83
57.2,100
57.4,101
57.6,85
57.8,100
58,116
58.2,73
58.4,128
58.6,119
58.8,96
59,111
59.2,114
59.4,99
59.6,113
59.8,105
60,148
60.2,167
60.4,172
60.6,157
60.8,196
61,225
61.2,285
61.4,369
61.6,600
61.8,1261
62,3002
62.2,5194
62.4,4252
62.6,1870
62.8,721
63,391
63.2,254
63.4,211
63.6,189
63.8,161
64,148
64.2,124
64.4,118
64.6,111
64.8,116
65,113
65.2,109
65.4,117
65.6,108
65.8,110
66,112
66.2,120
66.4,116
66.6,120
66.8,113
67,102
67.2,112
67.4,99
67.6,102
67.8,88
68,90
68.2,110
68.4,102
68.6,97
68.8,87
69,103
69.2,102
69.4,94
69.6,93
69.8,111
70,107
70.2,114
70.4,99
70.6,98
70.8,90
71,97
71.2,99
71.4,109
71.6,101
71.8,92
72,90
72.2,113
72.4,87
72.6,117
72.8,100
73,100
73.2,115
73.4,115
73.6,115
73.8,133
74,158
74.2,252
74.4,498
74.6,660
74.8,517
75,308
75.2,198
75.4,160
75.6,131
75.8,120
76,123
76.2,121
76.4,128
76.6,131
76.8,141
77,139
77.2,140
77.4,146
77.6,154
77.8,214
78,329
78.2,588
78.4,1027
78.6,1313
78.8,940
79,498
79.2,278
79.4,176
79.6,163
79.8,147
80,140
80.2,131
80.4,125
80.6,134
80.8,126
81,123
81.2,118
81.4,133
81.6,119
81.8,117
82,117
82.2,111
82.4,119
82.6,124
82.8,118
83,136
83.2,111
83.4,139
83.6,119
83.8,121
84,123
84.2,110
84.4,140
84.6,125
84.8,132
85,121
85.2,126
85.4,117
85.6,134
85.8,133
86,139
86.2,146
86.4,145
86.6,141
86.8,133
87,116
87.2,130
87.4,142
87.6,129
87.8,117
88,130
88.2,112
88.4,123
88.6,136
88.8,136
89,138
89.2,114
89.4,139
89.6,141
89.8,135
90,132
90.2,129
90.4,145
90.6,134
90.8,119
91,148
91.2,146
91.4,144
91.6,161
91.8,141
92,142
92.2,136
92.4,135
92.6,147
92.8,161
93,140
93.2,194
93.4,230
93.6,332
93.8,532
94,594
94.2,531
94.4,366
94.6,268
94.8,172
95,160
95.2,171
95.4,157
95.6,153
95.8,146
96,140
96.2,149
96.4,154
96.6,139
96.8,134
97,137
97.2,141
97.4,159
97.6,163
97.8,151
98,155
98.2,151
98.4,166
98.6,141
98.8,160
99,138
99.2,170
99.4,157
99.6,146
99.8,151
100,132
100.2,156
100.4,159
100.6,142
100.8,145
101,155
101.2,160
101.4,144
101.6,151
101.8,129
102,147
102.2,135
102.4,149
102.6,158
102.8,150
103,135
103.2,139
103.4,151
103.6,147
103.8,124
104,123
104.2,141
104.4,147
104.6,158
104.8,167
105,194
105.2,193
105.4,282
105.6,312
105.8,282
106,259
106.2,189
106.4,158
106.6,157
106.8,154
107,141
107.2,141
107.4,154
107.6,150
107.8,166
108,149
108.2,174
108.4,172
108.6,200
108.8,227
109,330
109.2,506
109.4,895
109.6,1239
109.8,1259
110,1057
110.2,782
110.4,446
110.6,264
110.8,227
111,190
111.2,181
111.4,163
111.6,152
111.8,132
112,151
112.2,146
112.4,148
112.6,147
112.8,117
113,128
113.2,110
113.4,128
113.6,126
113.8,119
114,97
114.2,99
114.4,117
114.6,104
114.8,105
115,122
115.2,112
115.4,123
115.6,115
115.8,119
116,114
116.2,98
116.4,103
116.6,120
116.8,105
117,129
117.2,111
117.4,108
117.6,116
117.8,121
118,108
118.2,108
118.4,111
118.6,114
118.8,108
119,99
119.2,105
119.4,107
119.6,104
119.8,124
120,114
